CustomerID,Name,Email,PurchaseAmount,PurchaseDate
1,Customer_1,customer1@example.com,949.0,2024-02-04
2,Customer_2,customer2@example.com,1058.0,2022-11-14
3,Customer_3,customer3@example.com,1465.0,2023-01-04
7,Customer_7,customer7@example.com,861.0,2023-11-23
8,Customer_8,customer8@example.com,1064.0,2024-01-06
11,Customer_11,customer11@example.com,1359.0,2023-12-12
12,Customer_12,customer12@example.com,555.0,2022-12-22
14,Customer_14,customer14@example.com,610.0,2023-08-24
15,Customer_15,customer15@example.com,798.0,2023-07-15
17,Customer_17,customer17@example.com,514.0,2023-11-12
20,Customer_20,customer20@example.com,1074.0,2023-12-01
21,Customer_21,customer21@example.com,634.0,2023-11-28
23,Customer_23,customer23@example.com,1044.0,2024-01-17
24,Customer_24,customer24@example.com,1013.0,2023-08-03
28,Customer_28,customer28@example.com,1179.0,2023-04-01
30,Customer_30,customer30@example.com,1112.0,2023-09-23
32,Customer_32,customer32@example.com,1383.0,2022-12-19
33,Customer_33,customer33@example.com,1108.0,2023-07-20
35,Customer_35,customer35@example.com,604.0,2023-08-06
41,Customer_41,customer41@example.com,777.0,2024-03-24
43,Customer_43,customer43@example.com,1399.0,2023-02-06
44,Customer_44,customer44@example.com,1187.0,2023-01-01
46,Customer_46,customer46@example.com,1009.0,2023-01-22
48,Customer_48,customer48@example.com,1254.0,2023-06-07
49,Customer_49,customer49@example.com,1049.0,2023-10-22
51,Customer_51,customer51@example.com,829.0,2023-08-01
52,Customer_52,customer52@example.com,1071.0,2023-08-14
55,Customer_55,customer55@example.com,1182.0,2023-02-13
58,Customer_58,customer58@example.com,1246.0,2023-08-11
61,Customer_61,customer61@example.com,1420.0,2023-12-04
62,Customer_62,customer62@example.com,1315.0,2023-04-21
64,Customer_64,customer64@example.com,1358.0,2024-01-13
66,Customer_66,customer66@example.com,1417.0,2023-09-22
70,Customer_70,customer70@example.com,1080.0,2023-12-18
71,Customer_71,customer71@example.com,1057.0,2024-04-02
